"consulta","clasificación"
"¿Cuáles son las reglas generales del juego?","REGLAS GENERALES"
"¿Qué debo hacer si hay un empate?","REGLAS GENERALES"
"¿Cuáles son las reglas específicas de Navaratna?","REGLAS NAVARATNA"
"¿Cómo funciona el modo automático del juego?","REGLAS AUTOMATA"
"¿Cuál es el objetivo principal del juego?","OBJETIVO DEL JUEGO"
"¿Cómo puedo mejorar mis habilidades contra otros jugadores?","ESTRATEGIA COMPETITIVA"
"¿Qué estrategias recomiendas para principiantes?","ESTRATEGIA PRINCIPIANTES"
"¿Cómo juego mejor con el personaje Portuguese?","ESTRATEGIA PERSONAJE PORTUGUESE"
"¿Qué opinas sobre las nuevas actualizaciones del juego?","OPINIONES"
"¿Cuáles son las estadísticas más importantes del juego?","ESTADÍSTICA GENERAL DEL JUEGO"
"¿Qué hago si me quedo sin movimientos?","REGLAS GENERALES"
"¿Cuáles son las reglas exclusivas de Navaratna en torneos?","REGLAS NAVARATNA"
"¿Qué es lo más importante para ganar en el modo automático?","REGLAS AUTOMATA"
"¿Cómo gano puntos rápidamente?","OBJETIVO DEL JUEGO"
"¿Qué estrategias puedo usar contra jugadores experimentados?","ESTRATEGIA COMPETITIVA"
"¿Cuáles son los errores más comunes de los principiantes?","ESTRATEGIA PRINCIPIANTES"
"¿Cómo aprovecho al máximo las habilidades de Portuguese?","ESTRATEGIA PERSONAJE PORTUGUESE"
"¿Qué piensas sobre los cambios recientes en la jugabilidad?","OPINIONES"
"¿Qué porcentaje de victorias tienen los mejores jugadores?","ESTADÍSTICA GENERAL DEL JUEGO"
"¿Cómo se manejan las situaciones de desempate en Navaratna?","REGLAS NAVARATNA"
"¿El modo automático toma en cuenta las estadísticas del jugador?","REGLAS AUTOMATA"
"¿Qué debo priorizar para alcanzar el objetivo principal?","OBJETIVO DEL JUEGO"
"¿Qué técnicas me recomiendas para vencer a mis amigos?","ESTRATEGIA COMPETITIVA"
"¿Qué pasos debo seguir para aprender desde cero?","ESTRATEGIA PRINCIPIANTES"
"¿Cuál es el mejor equipo para Portuguese en partidas largas?","ESTRATEGIA PERSONAJE PORTUGUESE"
"¿Qué opinan otros jugadores sobre el diseño del juego?","OPINIONES"
"¿Dónde puedo ver las estadísticas del juego en tiempo real?","ESTADÍSTICA GENERAL DEL JUEGO"
"¿Qué pasa si un jugador rompe las reglas generales?","REGLAS GENERALES"
"¿Es obligatorio seguir todas las reglas en partidas casuales?","REGLAS GENERALES"
"¿Cómo se cuentan los puntos en Navaratna?","REGLAS NAVARATNA"
"¿Existen combinaciones prohibidas en Navaratna?","REGLAS NAVARATNA"
"¿El modo automático puede manejar partidas largas?","REGLAS AUTOMATA"
"¿Qué ventajas tiene usar el modo automático?","REGLAS AUTOMATA"
"¿Cuántos puntos necesito para ganar una partida estándar?","OBJETIVO DEL JUEGO"
"¿Es posible cambiar el objetivo del juego en partidas personalizadas?","OBJETIVO DEL JUEGO"
"¿Cómo puedo anticipar las jugadas de mi oponente?","ESTRATEGIA COMPETITIVA"
"¿Qué estrategias son útiles en torneos oficiales?","ESTRATEGIA COMPETITIVA"
"¿Cómo puedo aprender las bases del juego más rápido?","ESTRATEGIA PRINCIPIANTES"
"¿Qué trucos básicos me recomiendas para mejorar?","ESTRATEGIA PRINCIPIANTES"
"¿Qué habilidades de Portuguese debo priorizar al jugar?","ESTRATEGIA PERSONAJE PORTUGUESE"
"¿Portuguese es un personaje ofensivo o defensivo?","ESTRATEGIA PERSONAJE PORTUGUESE"
"¿Qué opinan los jugadores veteranos sobre el balance del juego?","OPINIONES"
"¿Crees que las reglas actuales benefician a los jugadores nuevos?","OPINIONES"
"¿Dónde puedo consultar las estadísticas globales del juego?","ESTADÍSTICA GENERAL DEL JUEGO"
"¿Cuántos jugadores activos hay en la comunidad actualmente?","ESTADÍSTICA GENERAL DEL JUEGO"
"¿Qué debo hacer si otro jugador intenta modificar las reglas durante la partida?","REGLAS GENERALES"
"¿Navaratna tiene diferentes niveles de dificultad según las reglas?","REGLAS NAVARATNA"
"¿El modo automático realiza jugadas óptimas en todas las situaciones?","REGLAS AUTOMATA"
"¿Cuál es la estrategia más rápida para alcanzar el objetivo del juego?","OBJETIVO DEL JUEGO"
"¿Cómo puedo ajustar mi estrategia según el tipo de oponente?","ESTRATEGIA COMPETITIVA"
"¿Qué errores debo evitar al empezar a jugar?","ESTRATEGIA PRINCIPIANTES"
"¿Cómo aprovecho las habilidades pasivas de Portuguese?","ESTRATEGIA PERSONAJE PORTUGUESE"
"¿Qué opinan otros jugadores sobre la última actualización del modo Navaratna?","OPINIONES"
"¿Cuáles son los récords actuales en puntuación máxima?","ESTADÍSTICA GENERAL DEL JUEGO"
"¿Qué hacer si mi oponente utiliza tácticas que no entiendo?","ESTRATEGIA COMPETITIVA"
"¿Cuáles son las mecánicas más importantes de Portuguese?","ESTRATEGIA PERSONAJE PORTUGUESE"
"¿Crees que el modo automático es justo para principiantes?","OPINIONES"
"¿Cuál es el promedio de puntuaciones del juego?","ESTADÍSTICA GENERAL DEL JUEGO"
"¿Cuántas personas han calificado el juego?","ESTADÍSTICA GENERAL DEL JUEGO"
"¿Qué significa el peso en las estadísticas del juego?","ESTADÍSTICA GENERAL DEL JUEGO"
"¿Dónde puedo leer los comentarios de otros jugadores?","ESTADÍSTICA GENERAL DEL JUEGO"
"¿Cuántos fans tiene el juego actualmente?","ESTADÍSTICA GENERAL DEL JUEGO"
"¿En qué puesto está el juego en el ranking general?","ESTADÍSTICA GENERAL DEL JUEGO"
"¿Cuál es el rango de estrategia del juego?","ESTADÍSTICA GENERAL DEL JUEGO"
"¿Cuántas veces se ha jugado este juego en total?","ESTADÍSTICA GENERAL DEL JUEGO"
